Analyzed: Oh No It's Zombies Arctic Updated (346)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: Ascherit Race: Terran
ID : 2 PlayerName: Ahanax Race: Terran
ID : 3 PlayerName: archdracon Race: Zerg
ID : 4 PlayerName: Cruel Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: minigranja Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
archdracon Zombie Win
Private Lobby

Game Length:[39:698]
Players ammount: 8
Marine rank avg: 6,666666666666667
GrandMaster ammount: 6
PURCHASES: 
[00:588] Tin Unlocked AssaultRifle
[00:757] Tin Placed/Upgraded MiningDroid
[01:818] Tin Unlocked AdvancedDroidEngines
[03:604] Tin Unlocked ExplorationDroid
[03:624] Tin Placed/Upgraded ExplorationDroid
[03:638] Tin Placed/Upgraded ExplorationDroid
[03:817] Tin Placed/Upgraded ExplorationDroid
[05:957] Tin Unlocked EnergySuit
[05:958] Tin Unlocked EnergySuit
[06:942] Tin Unlocked Shotgun
[09:054] Tin Unlocked SpecOpsShotgun
[11:588] Tin Unlocked SuperStimpack
[12:724] Tin Unlocked Stimpack
[13:585] Tin Unlocked HazmatSuit
[13:586] Tin Unlocked EnergySuit
[15:686] Tin Unlocked BioMechanicalRepairDrone
[15:856] Tin Unlocked MedicShield
[17:257] Tin Placed/Upgraded HealingDrone
[17:819] Tin Placed/Upgraded HealingDrone
[18:035] Tin Placed/Upgraded HealingDrone
[19:132] Tin Unlocked FlashBang
[21:692] Tin Placed/Upgraded MiningDroid
[22:782] Tin Placed/Upgraded HealingDrone
[23:059] Tin Placed/Upgraded HealingDrone
[23:746] Tin Placed/Upgraded HealingDrone
[24:965] Tin Unlocked EnergyPack
[24:971] Tin Unlocked OpticalVisor
[28:211] Tin Placed/Upgraded HealingDrone
[28:781] Tin Unlocked AdvancedHazmatSuit
[29:332] Tin Unlocked SpecOpsSuperStimpack
[29:953] Tin Placed/Upgraded HealingDrone
[30:324] Tin Placed/Upgraded HealingDrone
[31:342] Tin Placed/Upgraded HealingDrone
[31:757] Tin Placed/Upgraded HealingDrone
[31:974] Tin Placed/Upgraded HealingDrone
[36:113] Tin Placed/Upgraded HealingDrone
[36:635] Tin Placed/Upgraded HealingDrone
[37:522] Tin Placed/Upgraded HealingDrone
[38:648] Tin Placed/Upgraded HealingDrone
[00:588] Ascherit Unlocked AssaultRifle
[00:667] Ascherit Placed/Upgraded MiningDroid
[02:709] Ascherit Unlocked SpecOpsAssaultRifle
[04:957] Ascherit Unlocked AdvancedDroidEngines
[05:958] Ascherit Bought ShieldSuit
[05:958] Ascherit Bought CombatSuit
[05:958] Ascherit Bought HazmatSuit
[06:270] Ascherit Unlocked OverloadWeapon
[07:560] Ascherit Unlocked EnergyPack
[08:521] Ascherit Placed/Upgraded MiningDroid
[08:737] Ascherit Unlocked SuperStimpack
[10:693] Ascherit Unlocked AIAssistant
[11:640] Ascherit Unlocked HazmatSuit
[12:365] Ascherit Unlocked AdvancedHazmatSuit
[13:290] Ascherit Unlocked TitaniumBulletCasings
[13:586] Ascherit Bought ShieldSuit
[13:586] Ascherit Bought CombatSuit
[13:586] Ascherit Bought HazmatSuit
[13:586] Ascherit Bought HazmatSuit
[15:286] Ascherit Unlocked TurboDroidEngines
[16:793] Ascherit Unlocked MiningCharge
[16:796] Ascherit Unlocked AdvancedMiningCharge
[16:916] Ascherit Placed/Upgraded NukePack
[17:572] Ascherit Placed/Upgraded NukePack
[18:356] Ascherit Placed/Upgraded NukePack
[20:082] Ascherit Unlocked BioMechanicalRepairDrone
[20:673] Ascherit Placed/Upgraded HealingDrone
[21:052] Ascherit Placed/Upgraded HealingDrone
[21:453] Ascherit Placed/Upgraded HealingDrone
[22:000] Ascherit Unlocked AutoTurret
[22:017] Ascherit Unlocked PsiDisrupter
[22:308] Ascherit Placed/Upgraded AutoTurret
[22:505] Ascherit Placed/Upgraded AutoTurret
[22:722] Ascherit Placed/Upgraded AutoTurret
[22:901] Ascherit Placed/Upgraded AutoTurret
[23:212] Ascherit Placed/Upgraded AutoTurret
[24:945] Ascherit Unlocked FlameTurret
[25:060] Ascherit Placed/Upgraded MiningDroid
[25:197] Ascherit Placed/Upgraded AutoTurret
[25:379] Ascherit Placed/Upgraded AutoTurret
[26:056] Ascherit Placed/Upgraded AutoTurret
[26:412] Ascherit Unlocked CombatShield
[27:017] Ascherit Placed/Upgraded AutoTurret
[27:318] Ascherit Placed/Upgraded AutoTurret
[27:557] Ascherit Placed/Upgraded HealingDrone
[28:533] Ascherit Placed/Upgraded HealingDrone
[28:784] Ascherit Bought HazmatSuit
[29:309] Ascherit Placed/Upgraded HealingDrone
[29:422] Ascherit Unlocked IncendiaryGrenade
[29:436] Ascherit Unlocked SpecOpsIncendiaryGrenade
[29:763] Ascherit Placed/Upgraded AutoTurret
[31:331] Ascherit Placed/Upgraded NukePack
